Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2020",,,,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"122,151",378,717,"1,435","1,540","1,530","1,869","5,097","36,124","21,126","5,001","6,211","26,156","10,364","1,966","2,637",,
..18 to 24 years,"14,634",27,16,45,76,136,285,"1,824","4,770","4,886",364,508,"1,535",140,9,12,,
.25 years and over,"107,517",351,702,"1,389","1,464","1,393","1,584","3,273","31,355","16,240","4,637","5,704","24,621","10,223","1,957","2,624",,
..25 to 29 years,"11,682",11,10,39,62,62,98,346,"3,762","2,062",508,665,"3,219",688,92,59,,
..30 to 34 years,"11,101",34,39,93,92,118,111,329,"3,134","1,696",441,719,"2,903","1,000",174,217,,
..35 to 39 years,"10,720",30,56,127,135,137,174,295,"2,883","1,490",525,555,"2,812","1,037",190,273,,
..40 to 44 years,"9,746",44,56,150,130,163,148,315,"2,732","1,346",404,601,"2,263","1,005",137,251,,
..45 to 49 years,"9,474",40,64,161,142,158,117,296,"2,534","1,307",444,564,"2,134","1,060",166,285,,
..50 to 54 years,"9,652",34,70,128,137,157,160,264,"2,898","1,345",470,429,"2,171",980,183,228,,
..55 to 59 years,"10,162",33,78,148,125,156,186,386,"3,236","1,420",506,506,"2,068",879,188,247,,
..60 to 64 years,"10,104",29,72,140,144,105,176,366,"3,229","1,614",416,534,"1,996",907,166,210,,
..65 to 69 years,"8,307",22,56,120,108,94,130,226,"2,278","1,449",343,410,"1,781",848,200,241,,
..70 to 74 years,"6,876",27,68,95,104,80,75,139,"1,744","1,165",276,360,"1,441",853,199,250,,
..75 years and over,"9,694",48,133,188,286,161,209,312,"2,922","1,345",303,362,"1,832",965,261,364,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"129,966",393,697,"1,499","1,553","1,520","1,761","4,639","34,075","22,983","5,554","8,697","29,635","13,493","1,421","2,047",,
..18 to 24 years,"14,426",19,18,44,73,108,205,"1,543","3,833","5,236",314,711,"2,093",200,16,12,,
.25 years and over,"115,540",374,680,"1,455","1,480","1,411","1,556","3,096","30,243","17,746","5,240","7,985","27,542","13,293","1,405","2,034",,
..25 to 29 years,"11,345",15,24,29,79,78,105,250,"2,624","1,860",502,812,"3,643","1,136",71,117,,
..30 to 34 years,"11,132",24,12,77,87,100,107,265,"2,276","1,682",500,730,"3,401","1,405",191,276,,
..35 to 39 years,"10,840",31,32,108,99,143,128,243,"2,221","1,553",468,762,"2,993","1,656",163,239,,
..40 to 44 years,"10,107",23,40,140,141,137,112,261,"2,217","1,404",434,730,"2,577","1,488",199,205,,
..45 to 49 years,"10,147",34,49,128,112,136,100,229,"2,246","1,447",508,748,"2,627","1,361",164,260,,
..50 to 54 years,"10,314",23,60,164,131,139,107,244,"2,530","1,529",484,756,"2,514","1,312",131,190,,
..55 to 59 years,"10,980",27,85,167,116,136,128,305,"3,147","1,741",563,845,"2,426","1,053",95,147,,
..60 to 64 years,"10,910",47,76,126,106,118,173,312,"3,264","1,744",508,867,"2,312",993,107,158,,
..65 to 69 years,"9,393",26,75,139,113,98,136,270,"2,724","1,482",468,685,"1,810","1,078",118,170,,
..70 to 74 years,"7,693",39,89,140,120,97,145,205,"2,371","1,329",355,518,"1,268",808,80,130,,
..75 years and over,"12,679",85,137,238,375,230,315,512,"4,623","1,975",451,532,"1,972","1,005",87,143,,
Footnotes:,,,,,,,,,,,,,,,,,,